Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
almost_sunrise_,almost_sunrise_,,1,1,1,2,1,2,1,3
zeldavegas,zeldavegas,,1,1,1,0,15,0,2,2
ycnw_1,ycnw_1,,0,0,0,0,0,0,0,0
helloval02,helloval02,,0,0,0,0,0,0,0,0
superscuba83,superscuba83,,0,0,0,0,1,2,0,2
sakrong,sakrong,,0,0,0,0,0,0,0,0
joekrackvillejd,joekrackvillejd,,0,0,0,0,0,0,0,0
piresmorgan,piresmorgan,,0,0,0,0,0,0,0,0
marcigower,marcigower,,0,0,0,0,0,0,0,0
cbtweets7,cbtweets7,,0,0,0,0,0,0,0,0
owilliams6,owilliams6,,0,0,0,0,0,0,0,0
nbcnewsnow,nbcnewsnow,,0,0,0,0,0,0,0,0
dieselsmighty,dieselsmighty,,0,0,0,0,0,0,0,0
joetke,joetke,,0,0,0,0,0,0,0,0
lci,lci,,0,0,0,0,0,0,0,0
nononkele1,nononkele1,,0,0,0,0,0,0,0,0
bbcbreaking,bbcbreaking,,0,0,0,0,0,0,0,0
liameljefe,liameljefe,,0,0,0,0,0,0,0,0
alishamayer11,alishamayer11,,0,0,0,0,0,0,0,0
koromabarbara,koromabarbara,,0,0,0,0,0,0,0,0
ledbettercarly,ledbettercarly,,0,0,0,0,9,4,0,4
3t1kd,3t1kd,,0,0,0,0,0,0,0,0
drmalrob062,drmalrob062,,0,0,0,0,0,0,0,0
skynews,skynews,,0,0,0,0,7,3,0,3
lexirosegb,lexirosegb,,0,0,0,0,0,0,0,0
lola_styles,lola_styles,,0,0,0,0,0,0,0,0
derspiegel,derspiegel,,0,0,0,0,0,0,0,0
write_n_chat,write_n_chat,,1,1,1,0,16,0,2,2
visualreceipts,visualreceipts,,0,0,0,0,0,0,0,0
darlingm777,darlingm777,,1,1,1,0,16,0,6,6
dharmann,dharmann,,0,0,0,0,0,0,0,0
complyorcry,complyorcry,,0,0,0,0,0,0,0,0
davidschneider,davidschneider,,0,0,0,0,0,0,0,0
canuckabroad3,canuckabroad3,,0,0,0,0,0,0,0,0
camillatominey,camillatominey,,0,0,0,0,13,4,0,4
naima50001623,naima50001623,,0,0,0,0,0,0,0,0
anna_itsonlyme,anna_itsonlyme,,0,0,0,0,3,4,0,4
nopieceofchoc,nopieceofchoc,,0,0,0,0,0,0,0,0
accessonline,accessonline,,0,0,0,0,0,0,0,0
kreatable,kreatable,,0,0,0,0,0,0,0,0
studentdoc_cole,studentdoc_cole,,0,0,0,0,0,0,0,0
rianne088,rianne088,,0,0,0,0,0,0,0,0
thatsassyleo,thatsassyleo,,0,0,0,0,0,0,0,0
judithneile,judithneile,,0,0,0,0,0,0,0,0
stardust_lune,stardust_lune,,0,0,0,0,0,0,0,0
adaliabooks,adaliabooks,,0,0,0,0,0,0,0,0
abgweth,abgweth,,1,1,1,0,17,0,4,4
tyorksher,tyorksher,,0,0,0,0,0,0,0,0
respectisvital,respectisvital,,0,0,0,0,0,0,0,0
l_qking_,l_qking_,,0,0,0,0,0,0,0,0
artsandculture,artsandculture,,2,0.761905,0.84375,211.5,15,1,11,12
chrisshipitv,chrisshipitv,,0,0,0,0,15,4,0,4
carolyndurand,carolyndurand,,0,0,0,0,0,0,0,0
ddubeternallove,ddubeternallove,,0,0,0,0,16,3,0,3
colbaltsparkle,colbaltsparkle,,1,1,1,61,7,2,6,8
sussexalltheway,sussexalltheway,,0,0,0,0,0,0,0,0
skynewsbreak,skynewsbreak,,0,0,0,0,0,0,0,0
wendypr42941811,wendypr42941811,,0,0,0,0,0,0,0,0
unicodacorn,unicodacorn,,0,0,0,0,0,0,0,0
roberthellgrewe,roberthellgrewe,,0,0,0,0,0,0,0,0
yojaalz,yojaalz,,0,0,0,0,0,0,0,0
the71_niji,the71_niji,,0,0,0,0,0,0,0,0
kensingtonroyal,kensingtonroyal,,0,0,0,0,16,4,0,4
sedonabert62,sedonabert62,,0,0,0,0,0,0,0,0
clarencehouse,clarencehouse,,0,0,0,0,0,0,0,0
jazzhero2,jazzhero2,,0,0,0,0,0,0,0,0
julesbal1,julesbal1,,0,0,0,0,0,0,0,0
kentlivenews,kentlivenews,,0,0,0,0,0,0,0,0
linzevc,linzevc,,0,0,0,0,8,0,0,0
markbriancorden,markbriancorden,,0,0,0,0,0,0,0,0
diaryotdgirl,diaryotdgirl,,1,1,1,0,3,0,2,2
archiemeghaz,archiemeghaz,,0,0,0,0,13,1,0,1
cuteahmah,cuteahmah,,0,0,0,0,0,0,0,0
venicegirlw2,venicegirlw2,,0,0,0,0,0,0,0,0
forcesnews,forcesnews,,0,0,0,0,3,3,0,3
waruni_smith,waruni_smith,,0,0,0,0,0,0,0,0
hypesleek,hypesleek,,1,1,1,0,1,0,5,5
royalreporter,royalreporter,,0,0,0,0,15,3,0,3
angelalevin1,angelalevin1,,0,0,0,0,1,12,0,12
a_1000_sunny,a_1000_sunny,,0,0,0,0,0,0,0,0
jamiesamhan,jamiesamhan,,0,0,0,0,0,0,0,0
hnmsupporter,hnmsupporter,,0,0,0,0,0,0,0,0
itvnews,itvnews,,0,0,0,0,15,1,0,1
nkechi_first,nkechi_first,,0,0,0,0,0,0,0,0
emerit19,emerit19,,0,0,0,0,0,0,0,0
cnni,cnni,,0,0,0,0,0,0,0,0
mydukeandi1,mydukeandi1,,0,0,0,0,17,3,0,3
gracesmom48,gracesmom48,,0,0,0,0,0,0,0,0
my_opnion,my_opnion,,1,1,1,0,3,0,3,3
userunknown200,userunknown200,,0,0,0,0,0,0,0,0
kat_sing,kat_sing,,0,0,0,0,0,0,0,0
abc,abc,,0,0,0,0,17,2,0,2
davidpuckridge,davidpuckridge,,0,0,0,0,0,0,0,0
sunshine4love,sunshine4love,,0,0,0,0,0,0,0,0
drdominicgreen,drdominicgreen,,0,0,0,0,0,0,0,0
artsarise,artsarise,,0,0,0,0,0,0,0,0
freepeeper,freepeeper,,0,0,0,0,0,0,0,0
nikkiwatitdo,nikkiwatitdo,,1,1,1,0,16,0,2,2
chaos_silent,chaos_silent,,0,0,0,0,0,0,0,0
matthaig1,matthaig1,,0,0,0,0,0,0,0,0
ramonaalex3,ramonaalex3,,0,0,0,0,0,0,0,0
texasflatlander,texasflatlander,,0,0,0,0,0,0,0,0
jodivarunner,jodivarunner,,0,0,0,0,17,2,0,2
aized10,aized10,,0,0,0,0,0,0,0,0
salonedesserts,salonedesserts,,0,0,0,0,0,0,0,0
